"method","efficiency","raw_imbalance","imbalance","targeted_group_demo","budget_actual","maximum_viable_ceiling_z0","maximum_viable_ceiling_z1","delta_policy","scenario","replication","n_train","n_test","num_trees","beat_penalty","target_share"
"CF-NP",68.8668466016903,0.286,220,0.364,NA,0.48,0.478,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,250,10,0.5
"Debiased",84.3892587952081,0.0660000000000001,50.7692307692308,0.474,NA,0.48,0.478,22,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,250,10,0.5
"BEAT",45.31756897374,0.05,38.4615384615385,0.482,NA,0.48,0.478,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,250,10,0.5
"BTGQ",51.3324252242312,0.226,173.846153846154,0.394,NA,0.48,0.478,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,250,10,0.5
"BTGQ_VALID",55.3800756109936,0.25,192.307692307692,0.382,NA,0.48,0.478,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,250,10,0.5
"CF-FD",64.1221675384325,0.208,100,0.404,NA,0.44,0.528,5.6,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,250,10,0.5
"CF-NP",50.8108746411498,0.268,128.846153846154,0.374,NA,0.44,0.528,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,250,10,0.5
"Debiased",58.4740846186887,0.028,13.4615384615385,0.494,NA,0.44,0.528,25.8,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,250,10,0.5
"BEAT",40.647965799847,0.016,7.6923076923077,0.516,NA,0.44,0.528,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,250,10,0.5
"BTGQ",47.1015174741646,0.12,57.6923076923077,0.448,NA,0.44,0.528,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,250,10,0.5
"BTGQ_VALID",27.4564846719648,0.228,109.615384615385,0.394,NA,0.44,0.528,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,250,10,0.5
"CF-FD",72.7068886780438,0.136,100,0.428,NA,0.486,0.488,12.8,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,250,10,0.5
"CF-NP",62.8653902804552,0.26,191.176470588235,0.366,NA,0.486,0.488,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,250,10,0.5
"Debiased",81.838047738424,0.012,8.82352941176472,0.49,NA,0.486,0.488,28.6,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,250,10,0.5
"BEAT",51.183471739187,0.016,11.764705882353,0.488,NA,0.486,0.488,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,250,10,0.5
"BTGQ",51.0644573700615,0.164,120.588235294118,0.414,NA,0.486,0.488,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,250,10,0.5
"BTGQ_VALID",55.8062700802322,0.16,117.647058823529,0.416,NA,0.486,0.488,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,250,10,0.5
"BTGQ_MAX",68.916433184345,0.33,73.3333333333333,0.69,0.4385,0.246575342465753,0.924657534246575,0,"scenario_1_high_corr_tau_z",1,2000,1000,250,10,0.5
"BTGQ_MAX",61.5204344761589,0.342,68.6746987951807,0.684,0.427,0.243559718969555,0.927400468384075,0,"scenario_1_high_corr_tau_z",2,2000,1000,250,10,0.5
"BTGQ_MAX",60.02905765232,0.2,70.4225352112676,0.606,0.498,0.228915662650602,0.769076305220884,0,"scenario_1_high_corr_tau_z",3,2000,1000,250,10,0.5
"BTGQ_MAX",88.3341387988483,0.118,18.7301587301587,0.572,0.474,0.194092827004219,0.795358649789029,0,"scenario_2_low_corr_tau_z",1,2000,1000,250,10,0.5
"BTGQ_MAX",55.6169468674797,0.03,6.72645739910315,0.536,0.3875,0.242894056847545,0.96640826873385,0,"scenario_2_low_corr_tau_z",2,2000,1000,250,10,0.5
"BTGQ_MAX",72.3172711343138,0.012,2.60869565217392,0.508,0.5,0.21,0.752,0,"scenario_2_low_corr_tau_z",3,2000,1000,250,10,0.5
"BTGQ_MAX",72.0269777264933,0.324,76.4150943396226,0.66,0.4675,0.222698072805139,0.832976445396146,0,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,250,10,0.5
"BTGQ_MAX",83.396627333364,0.256,44.7552447552448,0.632,0.4445,0.213963963963964,0.871621621621622,0,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,250,10,0.5
"BTGQ_MAX",65.7638726536318,0.274,80.1169590643275,0.658,0.5,0.204,0.782,0,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,250,10,0.5
"BTGQ_MAX",63.2177304186223,0.222,170.769230769231,0.396,0.462,0.519480519480519,0.517316017316017,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,250,10,0.5
"BTGQ_MAX",52.2056371428671,0.164,78.8461538461539,0.426,0.5,0.44,0.528,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",2,2000,1000,250,10,0.5
"BTGQ_MAX",61.3331902897091,0.2,147.058823529412,0.396,0.5,0.486,0.488,0,"scenario_4_low_corr_tau_z_x2_opposite_sign",3,2000,1000,250,10,0.5
